MachineID,ModelID,datasource,auctioneerID,YearMade,MachineHoursCurrentMeter,UsageBand,saledate,fiModelDesc,fiBaseModel,fiSecondaryDesc,fiModelSeries,fiModelDescriptor,ProductSize,state,ProductGroup,SalePrice
891636,4132,132,1,1997,0.0,UNK,6/8/2004 0:00,D6R,D6,R,UNK,UNK,Medium,Tennessee,TTT,80000
1161547,6558,132,1,1971,0.0,UNK,4/27/1990 0:00,1150,1150,UNK,UNK,UNK,Medium,Oregon,TTT,12000
1193418,6979,132,19,1970,0.0,UNK,11/8/2001 0:00,16,16,UNK,UNK,UNK,UNK,California,MG,11500
1182460,7257,132,1,1988,0.0,UNK,12/10/1991 0:00,910,910,UNK,UNK,UNK,Compact,Georgia,WL,23500
186490,3824,132,1,1998,0.0,UNK,2/15/2007 0:00,950G,950,G,UNK,UNK,Medium,Arizona,WL,75000
1019996,1934,121,3,1000,12764.0,Low,6/30/2011 0:00,772BH,772,B,UNK,H,UNK,South Carolina,MG,42000
1249454,4148,132,1,1982,0.0,UNK,4/9/1996 0:00,D8L,D8,L,UNK,UNK,Large,Washington,TTT,62500
1197525,1211,132,15,1997,0.0,UNK,6/30/2010 0:00,325BL,325,B,UNK,L,Large / Medium,Nebraska,TEX,29000
8073,1611,132,6,1994,0.0,UNK,5/7/1998 0:00,D6HIILGP,D6,H,II,LGP,Medium,Tennessee,TTT,125000
999231,4863,121,3,1998,8763.0,Medium,10/4/2007 0:00,TC54H,TC54,H,UNK,UNK,UNK,Georgia,WL,42000
1376936,3170,132,99,1989,0.0,UNK,5/12/1994 0:00,580K,580,K,UNK,UNK,UNK,Texas,BL,24500
847826,7110,121,3,1000,5662.0,Low,9/7/2006 0:00,416,416,UNK,UNK,UNK,UNK,Maine,BL,15500
1468459,1092,132,1,1996,0.0,UNK,12/4/2002 0:00,307SSR,307,UNK,UNK,SSR,Mini,Washington,TEX,23000
889499,4132,132,1,1998,0.0,UNK,6/8/2004 0:00,D6R,D6,R,UNK,UNK,Medium,Tennessee,TTT,91000
1480861,3567,132,1,1997,0.0,UNK,3/29/2004 0:00,446B,446,B,UNK,UNK,UNK,Illinois,BL,29000
1174279,3357,132,1,1978,0.0,UNK,6/6/2006 0:00,12G,12,G,UNK,UNK,UNK,Missouri,MG,47500
737743,1597,132,1,1998,0.0,UNK,12/4/2006 0:00,D5MXL,D5,M,UNK,XL,Medium,California,TTT,53000
1153902,77,132,19,1994,0.0,UNK,11/8/2001 0:00,950FII,950,F,II,UNK,Medium,California,WL,55000
1303053,3178,132,3,1995,0.0,UNK,10/8/2009 0:00,580SUPER L,580,SUPER L,UNK,UNK,UNK,California,BL,17000
1446856,1192,132,4,1998,0.0,UNK,2/17/2001 0:00,322BL,322,B,UNK,L,Large / Medium,Florida,TEX,80000
1450092,3238,132,9,1998,0.0,UNK,2/21/2001 0:00,850G,850,G,UNK,UNK,UNK,Florida,TTT,41700
1473025,3171,132,11,1998,0.0,UNK,4/26/2001 0:00,580L,580,L,UNK,UNK,UNK,South Carolina,BL,27000
1451579,4148,132,1,1985,0.0,UNK,5/10/1994 0:00,D8L,D8,L,UNK,UNK,Large,Nevada,TTT,115000
1185615,7110,132,4,1987,0.0,UNK,5/23/1991 0:00,416,416,UNK,UNK,UNK,UNK,Ohio,BL,19500
1243081,3486,132,7,1996,0.0,UNK,3/2/2001 0:00,320B,320,B,UNK,UNK,Large / Medium,Alabama,TEX,55000
642002,3406,132,1,1986,0.0,UNK,6/20/1997 0:00,225B,225,B,UNK,UNK,Large / Medium,Washington,TEX,32500
1016766,7019,121,3,2000,373.0,Low,4/15/2004 0:00,246,246,UNK,UNK,UNK,UNK,Iowa,SSL,17500
266419,13792,121,3,1998,9669.0,High,5/29/2008 0:00,D4CIIIXL,D4,C,III,XL,UNK,Tennessee,TTT,20500
1405667,4149,132,1,1994,0.0,UNK,2/23/2006 0:00,D8N,D8,N,UNK,UNK,Large,Florida,TTT,79000
1304429,3170,132,2,1987,0.0,UNK,2/10/1994 0:00,580K,580,K,UNK,UNK,UNK,Florida,BL,17500
792122,3824,132,1,2000,0.0,UNK,2/20/2007 0:00,950G,950,G,UNK,UNK,Medium,Florida,WL,99000
1382323,7008,132,15,1985,0.0,UNK,6/21/2000 0:00,225,225,UNK,UNK,UNK,Large / Medium,Pennsylvania,TEX,24000
1516629,3857,132,1,1991,0.0,UNK,9/12/2006 0:00,966F,966,F,UNK,UNK,Medium,California,WL,65000
1104420,1571,132,2,1978,0.0,UNK,4/19/2000 0:00,D5BLGP,D5,B,UNK,LGP,UNK,Georgia,TTT,15500
999441,7939,121,3,1999,4334.0,Low,1/28/2010 0:00,110,110,UNK,UNK,UNK,Small,Georgia,TEX,24500
1168584,4124,132,10,1996,0.0,UNK,12/2/1998 0:00,D6D,D6,D,UNK,UNK,Medium,Louisiana,TTT,70000
1139867,3538,132,12,1996,0.0,UNK,3/20/2001 0:00,416C,416,C,UNK,UNK,UNK,South Carolina,BL,26000
1238587,1092,132,8,1994,0.0,UNK,11/15/2001 0:00,307SSR,307,UNK,UNK,SSR,Mini,Mississippi,TEX,17000
677791,3547,132,2,2000,0.0,UNK,6/7/2006 0:00,426C,426,C,UNK,UNK,UNK,Texas,BL,37000
1419312,7014,132,1,1999,0.0,UNK,4/4/2002 0:00,236,236,UNK,UNK,UNK,UNK,Colorado,SSL,17000
1415141,3538,132,2,1999,0.0,UNK,2/4/2010 0:00,416C,416,C,UNK,UNK,UNK,Florida,BL,19000
26463,4327,132,1,1992,0.0,UNK,6/18/2003 0:00,IT18B,IT18,B,UNK,UNK,UNK,Georgia,WL,26000
1378171,43,132,1,1992,0.0,UNK,12/8/1998 0:00,416II,416,UNK,II,UNK,UNK,Florida,BL,23000
405061,7267,132,2,1978,0.0,UNK,12/29/2005 0:00,930,930,UNK,UNK,UNK,UNK,New York,WL,17500
522249,7267,132,1,1980,0.0,UNK,9/9/1993 0:00,930,930,UNK,UNK,UNK,UNK,Florida,WL,22000
1180395,1026,132,1,1985,0.0,UNK,6/26/2000 0:00,211LC,211,UNK,UNK,LC,Small,Minnesota,TEX,17500
1173228,6979,132,1,1971,0.0,UNK,11/21/1989 0:00,16,16,UNK,UNK,UNK,UNK,Colorado,MG,14000
730368,7267,132,20,1979,0.0,UNK,12/7/1995 0:00,930,930,UNK,UNK,UNK,UNK,Missouri,WL,21500
1106404,3112,132,2,1995,0.0,UNK,2/4/1998 0:00,1845C,1845,C,UNK,UNK,UNK,Florida,SSL,14750
1528367,23926,132,27,1999,0.0,UNK,10/1/2009 0:00,12HNA,12,H,UNK,UNK,UNK,North Carolina,MG,65000
1362616,3261,132,2,2000,0.0,UNK,2/4/2002 0:00,90XT,90,XT,UNK,UNK,UNK,Florida,SSL,20000
1291835,3165,132,99,1981,0.0,UNK,4/5/1994 0:00,580D,580,D,UNK,UNK,UNK,Texas,BL,13000
1521435,6633,132,1,1999,0.0,UNK,11/15/2005 0:00,1840,1840,UNK,UNK,UNK,UNK,Georgia,SSL,9000
1542030,4128,132,16,1987,200.0,Low,9/30/1999 0:00,D6H,D6,H,UNK,UNK,Medium,Ohio,TTT,41000
1372097,3170,132,11,1987,0.0,UNK,9/17/1997 0:00,580K,580,K,UNK,UNK,UNK,Mississippi,BL,16500
468026,3774,132,6,1995,0.0,UNK,3/13/1997 0:00,924F,924,F,UNK,UNK,UNK,Florida,WL,63000
956182,3190,121,3,2000,5894.0,Medium,10/20/2011 0:00,590SUPER L,590,SUPER L,UNK,UNK,UNK,Texas,BL,18000
1157088,1092,132,10,1995,0.0,UNK,3/18/2009 0:00,307SSR,307,UNK,UNK,SSR,Mini,Louisiana,TEX,12000
1198396,7259,132,1,1989,0.0,UNK,2/22/1991 0:00,916,916,UNK,UNK,UNK,UNK,Texas,WL,35000
1415220,6788,132,1,1985,0.0,UNK,2/22/1990 0:00,580,580,UNK,UNK,UNK,UNK,Arizona,BL,20000
809954,7001,132,2,1983,0.0,UNK,8/6/1994 0:00,215,215,UNK,UNK,UNK,Small,New York,TEX,36500
1450777,3171,132,1,1000,0.0,UNK,4/20/2006 0:00,580L,580,L,UNK,UNK,UNK,Ohio,BL,19500
775854,23926,132,1,1996,0.0,UNK,2/18/2003 0:00,12HNA,12,H,UNK,UNK,UNK,Florida,MG,71000
554988,1133,121,3,1997,11944.0,High,5/15/2008 0:00,315L,315,UNK,UNK,L,Small,Indiana,TEX,33500
254775,3538,132,7,1997,0.0,UNK,4/22/2004 0:00,416C,416,C,UNK,UNK,UNK,South Carolina,BL,25000
368114,3824,132,19,1999,0.0,UNK,2/17/2005 0:00,950G,950,G,UNK,UNK,Medium,Arkansas,WL,105000
1437400,3269,132,1,1999,0.0,UNK,5/27/2004 0:00,95XT,95,XT,UNK,UNK,UNK,Florida,SSL,11500
1046072,11793,121,3,1998,4302.0,Medium,11/11/2011 0:00,214SIII,214,S,III,UNK,UNK,North Carolina,BL,16500
1383175,3363,132,6,1996,0.0,UNK,7/23/1998 0:00,140H,140,H,UNK,UNK,UNK,Texas,MG,115000
1307178,3170,132,15,1987,0.0,UNK,6/21/2000 0:00,580K,580,K,UNK,UNK,UNK,Pennsylvania,BL,15500
1058888,9566,121,3,1998,3080.0,Medium,6/26/2008 0:00,873,873,UNK,UNK,UNK,UNK,Ohio,SSL,8500
1193767,3164,132,14,1976,0.0,UNK,7/15/1994 0:00,580C,580,C,UNK,UNK,UNK,Indiana,BL,10000
1190845,3357,132,1,1986,0.0,UNK,9/17/1998 0:00,12G,12,G,UNK,UNK,UNK,Florida,MG,50000
1433556,3112,132,2,1997,0.0,UNK,10/9/2001 0:00,1845C,1845,C,UNK,UNK,UNK,Texas,SSL,11000
1085649,3822,132,1,1989,0.0,UNK,6/18/2001 0:00,950E,950,E,UNK,UNK,Medium,Maryland,WL,34000
1549327,4101,132,23,1988,0.0,UNK,5/3/1997 0:00,D4B,D4,B,UNK,UNK,UNK,New Jersey,TTT,23000
1410693,6633,132,1,1992,0.0,UNK,9/29/1999 0:00,1840,1840,UNK,UNK,UNK,UNK,Washington,SSL,7000
1150655,6788,132,6,1979,0.0,UNK,4/18/1989 0:00,580,580,UNK,UNK,UNK,UNK,Kentucky,BL,8000
1439813,3538,132,1,1996,0.0,UNK,12/5/2002 0:00,416C,416,C,UNK,UNK,UNK,Illinois,BL,24000
1329079,4327,132,1,1991,0.0,UNK,10/1/1997 0:00,IT18B,IT18,B,UNK,UNK,UNK,Florida,WL,40000
1448975,3149,132,1,1986,0.0,UNK,3/15/1994 0:00,480E,480,E,UNK,UNK,UNK,Georgia,BL,14000
1085879,1539,132,9,1976,0.0,UNK,2/18/2002 0:00,D3LGP,D3,UNK,UNK,LGP,UNK,Florida,TTT,9000
1434643,4123,132,15,1974,0.0,UNK,6/3/1999 0:00,D6C,D6,C,UNK,UNK,Medium,Pennsylvania,TTT,28750
1159537,3177,132,99,1995,0.0,UNK,4/2/2005 0:00,580SUPER K,580,SUPER K,UNK,UNK,UNK,Missouri,BL,17000
1231376,4090,132,11,1989,1400.0,Medium,4/7/1993 0:00,D3C,D3,C,UNK,UNK,UNK,Mississippi,TTT,28500
1368211,3782,132,1,1993,0.0,UNK,9/25/2001 0:00,928F,928,F,UNK,UNK,UNK,Illinois,WL,45000
898579,4128,132,1,1990,0.0,UNK,3/2/2004 0:00,D6H,D6,H,UNK,UNK,Medium,Iowa,TTT,40000
557474,1158,132,1,1998,0.0,UNK,6/5/2001 0:00,320BL,320,B,UNK,L,Large / Medium,Utah,TEX,70000
554716,7008,132,14,1985,0.0,UNK,9/12/1996 0:00,225,225,UNK,UNK,UNK,Large / Medium,Indiana,TEX,37500
1089524,6788,132,18,1983,0.0,UNK,10/21/1989 0:00,580,580,UNK,UNK,UNK,UNK,Pennsylvania,BL,13000
1127413,3165,132,9,1985,0.0,UNK,2/9/1999 0:00,580D,580,D,UNK,UNK,UNK,Florida,BL,10400
1152801,4112,132,4,1980,0.0,UNK,2/1/1989 0:00,D5B,D5,B,UNK,UNK,UNK,Florida,TTT,27000
1026600,3177,121,3,1992,9182.0,Medium,8/27/2009 0:00,580SUPER K,580,SUPER K,UNK,UNK,UNK,Oregon,BL,13000
1230082,3112,132,1,1998,0.0,UNK,12/3/2002 0:00,1845C,1845,C,UNK,UNK,UNK,Colorado,SSL,11000
1382313,4101,132,22,1987,0.0,UNK,5/24/1997 0:00,D4B,D4,B,UNK,UNK,UNK,Minnesota,TTT,23500
1331666,6793,132,11,1991,0.0,UNK,9/1/1999 0:00,590,590,UNK,UNK,UNK,UNK,Mississippi,BL,17500
1009537,495,121,3,1996,20186.0,High,3/17/2011 0:00,PC400LC6,PC400,UNK,LC,6,Large / Medium,Georgia,TEX,32000
1130876,3538,132,4,1999,0.0,UNK,10/30/2004 0:00,416C,416,C,UNK,UNK,UNK,Pennsylvania,BL,35500
1169912,999,132,7,1998,0.0,UNK,4/22/2010 0:00,850GLT,850,G,UNK,LT,UNK,South Carolina,TTT,18000
1553928,43,132,1,1991,0.0,UNK,11/3/1995 0:00,416II,416,UNK,II,UNK,UNK,Texas,BL,19000
1115392,3819,132,1,1986,0.0,UNK,9/15/1995 0:00,950B,950,B,UNK,UNK,Medium,California,WL,43000
1504532,4146,132,1,1972,0.0,UNK,6/5/2004 0:00,D8H,D8,H,UNK,UNK,Large,Nevada,TTT,23000
141204,23926,132,4,1995,0.0,UNK,2/11/2002 0:00,12HNA,12,H,UNK,UNK,UNK,Florida,MG,77000
60446,1192,132,4,1997,0.0,UNK,2/10/2011 0:00,322BL,322,B,UNK,L,Large / Medium,Florida,TEX,33000
1259374,3170,132,1,1990,0.0,UNK,12/4/2006 0:00,580K,580,K,UNK,UNK,UNK,California,BL,9000
1008218,14308,121,3,2000,11279.0,High,6/12/2008 0:00,330LC,330,UNK,UNK,LC,Large / Medium,Idaho,TEX,46000
219407,1596,121,3,1998,3326.0,Low,12/3/2009 0:00,D5MLGP,D5,M,UNK,LGP,Medium,North Carolina,TTT,32000
1062752,553,121,3,1000,3590.0,Low,10/22/2009 0:00,PC75UU-2,PC75,UU,-2,UNK,Mini,Texas,TEX,15500
259544,1596,132,11,1997,0.0,UNK,11/29/2000 0:00,D5MLGP,D5,M,UNK,LGP,Medium,Alabama,TTT,53000
1229267,1526,132,1,1984,0.0,UNK,5/1/1990 0:00,D3BLGP,D3,B,UNK,LGP,UNK,Maine,TTT,15000
1481877,43,132,1,1990,0.0,UNK,3/14/1996 0:00,416II,416,UNK,II,UNK,UNK,Florida,BL,23000
1066996,4579,121,3,2000,4050.0,Low,5/15/2008 0:00,210LE,210,LE,UNK,UNK,Compact,California,WL,14500
1235656,3112,132,21,1996,0.0,UNK,4/13/2000 0:00,1845C,1845,C,UNK,UNK,UNK,Maine,SSL,14750
65472,7110,132,99,1988,0.0,UNK,8/20/1993 0:00,416,416,UNK,UNK,UNK,UNK,South Carolina,BL,20500
1077912,7259,132,6,1991,0.0,UNK,3/13/1997 0:00,916,916,UNK,UNK,UNK,UNK,Florida,WL,31000
1264341,3160,132,20,1993,0.0,UNK,10/29/2003 0:00,550E,550,E,UNK,UNK,UNK,Arkansas,TTT,19000
552502,3538,132,14,2000,2838.0,Low,9/17/2010 0:00,416C,416,C,UNK,UNK,UNK,Indiana,BL,22500
1466997,3161,132,3,1997,0.0,UNK,2/12/2004 0:00,550G,550,G,UNK,UNK,UNK,California,TTT,21000
1227759,3170,132,99,1000,0.0,UNK,4/16/1998 0:00,580K,580,K,UNK,UNK,UNK,Maine,BL,20000
1526506,3165,132,2,1981,0.0,UNK,4/30/1994 0:00,580D,580,D,UNK,UNK,UNK,Ohio,BL,15500
1499491,3356,132,1,1968,0.0,UNK,12/15/1989 0:00,12F,12,F,UNK,UNK,UNK,New Hampshire,MG,12000
1253700,3357,132,1,1979,0.0,UNK,9/27/2006 0:00,12G,12,G,UNK,UNK,UNK,North Carolina,MG,38000
1262109,1026,132,1,1985,0.0,UNK,12/6/1995 0:00,211LC,211,UNK,UNK,LC,Small,Washington,TEX,32000
1193207,3238,132,7,1996,0.0,UNK,6/7/2001 0:00,850G,850,G,UNK,UNK,UNK,Alabama,TTT,28000
1100601,7008,132,2,1984,0.0,UNK,2/5/1997 0:00,225,225,UNK,UNK,UNK,Large / Medium,Florida,TEX,35000
1267624,3257,132,5,1996,0.0,UNK,9/28/2006 0:00,9040B,9040,B,UNK,UNK,Large / Medium,Connecticut,TEX,25000
1258444,3170,132,21,1988,0.0,UNK,10/26/1995 0:00,580K,580,K,UNK,UNK,UNK,Maine,BL,23000
1101380,3369,132,1,1970,0.0,UNK,10/31/1991 0:00,14E,14,E,UNK,UNK,UNK,Georgia,MG,14000
1508757,4112,132,1,1978,0.0,UNK,9/28/2000 0:00,D5B,D5,B,UNK,UNK,UNK,Maryland,TTT,17000
1490678,7070,132,2,1996,0.0,UNK,12/12/1997 0:00,320,320,UNK,UNK,UNK,Large / Medium,New Jersey,TEX,94000
22760,3538,132,1,1997,0.0,UNK,4/6/2000 0:00,416C,416,C,UNK,UNK,UNK,Georgia,BL,36000
1172178,23926,132,1,1996,0.0,UNK,11/28/2001 0:00,12HNA,12,H,UNK,UNK,UNK,Texas,MG,102500
1441712,7065,132,2,1995,0.0,UNK,7/12/2003 0:00,317,317,UNK,UNK,UNK,Small,New York,TEX,28000
1114311,4124,132,10,1996,0.0,UNK,10/16/1998 0:00,D6D,D6,D,UNK,UNK,Medium,Louisiana,TTT,87000
1244756,3538,132,1,1998,0.0,UNK,12/11/2001 0:00,416C,416,C,UNK,UNK,UNK,California,BL,30000
1195041,4123,132,20,1971,0.0,UNK,4/1/1995 0:00,D6C,D6,C,UNK,UNK,Medium,Arkansas,TTT,24250
1544244,3112,132,2,1998,0.0,UNK,5/18/2001 0:00,1845C,1845,C,UNK,UNK,UNK,Tennessee,SSL,13000
1109957,7110,132,1,1989,0.0,UNK,3/24/1999 0:00,416,416,UNK,UNK,UNK,UNK,Washington,BL,17500
1142240,7013,132,1,1979,0.0,UNK,6/15/1995 0:00,235,235,UNK,UNK,UNK,Large / Medium,Washington,TEX,30000
1556563,3112,132,22,1996,0.0,UNK,9/17/2005 0:00,1845C,1845,C,UNK,UNK,UNK,Minnesota,SSL,13500
1470392,3538,132,1,1997,0.0,UNK,12/8/2005 0:00,416C,416,C,UNK,UNK,UNK,Texas,BL,27000
1485858,3238,132,20,1998,0.0,UNK,3/23/2010 0:00,850G,850,G,UNK,UNK,UNK,Texas,TTT,16500
121618,3538,121,3,2000,1666.0,Medium,5/20/2004 0:00,416C,416,C,UNK,UNK,UNK,North Carolina,BL,34000
1453304,3149,132,1,1988,0.0,UNK,4/4/1996 0:00,480E,480,E,UNK,UNK,UNK,Georgia,BL,13000
1555650,6633,132,1,1990,0.0,UNK,6/23/2004 0:00,1840,1840,UNK,UNK,UNK,UNK,Washington,SSL,8000
1251685,13278,132,16,2000,0.0,UNK,3/15/2011 0:00,721CXT,721,C,UNK,XT,Medium,Illinois,WL,69000
888069,1211,132,8,1999,0.0,UNK,3/22/2006 0:00,325BL,325,B,UNK,L,Large / Medium,Mississippi,TEX,81000
1310349,7054,132,1,1995,0.0,UNK,8/31/2005 0:00,311,311,UNK,UNK,UNK,Small,Georgia,TEX,31000
1494322,3171,132,2,1997,0.0,UNK,2/3/2005 0:00,580L,580,L,UNK,UNK,UNK,Florida,BL,21500
1249275,3819,132,1,1983,0.0,UNK,10/1/2004 0:00,950B,950,B,UNK,UNK,Medium,Colorado,WL,36000
1291398,7008,132,1,1978,0.0,UNK,11/14/1991 0:00,225,225,UNK,UNK,UNK,Large / Medium,Texas,TEX,16000
1420260,6793,132,5,1991,2300.0,Medium,9/28/1996 0:00,590,590,UNK,UNK,UNK,UNK,Maine,BL,33500
838655,3806,132,2,1996,0.0,UNK,2/4/2002 0:00,938F,938,F,UNK,UNK,Medium,Florida,WL,53500
1132817,4124,132,2,1977,0.0,UNK,3/14/2002 0:00,D6D,D6,D,UNK,UNK,Medium,New Jersey,TTT,32500
1245296,3178,132,2,1998,0.0,UNK,3/28/2007 0:00,580SUPER L,580,SUPER L,UNK,UNK,UNK,Texas,BL,26000
1252309,6742,132,2,1985,0.0,UNK,5/22/1993 0:00,450,450,UNK,UNK,UNK,UNK,New York,TTT,16500
1492193,3112,132,1,1986,0.0,UNK,9/29/2000 0:00,1845C,1845,C,UNK,UNK,UNK,Colorado,SSL,7000
1469037,3190,132,1,1997,0.0,UNK,6/10/2011 0:00,590SUPER L,590,SUPER L,UNK,UNK,UNK,Nevada,BL,21000
1110808,7524,132,15,1987,0.0,UNK,2/12/2004 0:00,EL300,EL300,UNK,UNK,UNK,Large / Medium,Kentucky,TEX,17000
382431,3547,132,2,1998,0.0,UNK,7/19/2003 0:00,426C,426,C,UNK,UNK,UNK,Connecticut,BL,31000
1223701,1092,132,1,1996,0.0,UNK,11/15/2000 0:00,307SSR,307,UNK,UNK,SSR,Mini,Texas,TEX,19000
1090097,3112,132,1,1996,0.0,UNK,6/22/2006 0:00,1845C,1845,C,UNK,UNK,UNK,Colorado,SSL,6500
65067,3538,132,2,1996,0.0,UNK,11/16/2004 0:00,416C,416,C,UNK,UNK,UNK,Texas,BL,20500
1281942,4327,132,99,1989,0.0,UNK,3/16/1995 0:00,IT18B,IT18,B,UNK,UNK,UNK,Texas,WL,44000
1509345,3112,132,16,1000,0.0,UNK,11/3/2005 0:00,1845C,1845,C,UNK,UNK,UNK,Illinois,SSL,7400
1290979,3225,132,2,1986,0.0,UNK,10/14/1995 0:00,780C,780,C,UNK,UNK,UNK,Pennsylvania,BL,17000
1139490,3225,132,6,1987,1975.0,Low,4/18/1994 0:00,780C,780,C,UNK,UNK,UNK,Kentucky,BL,21000
1122293,107,132,6,1993,0.0,UNK,2/11/1998 0:00,D3CII,D3,C,II,UNK,UNK,Florida,TTT,28000
1285652,4124,132,1,1979,0.0,UNK,5/8/2001 0:00,D6D,D6,D,UNK,UNK,Medium,Florida,TTT,19000
1003757,7271,121,3,1000,16442.0,Medium,3/25/2010 0:00,936,936,UNK,UNK,UNK,Medium,Florida,WL,48000
1489898,3199,132,2,1997,0.0,UNK,9/29/2004 0:00,621B,621,B,UNK,UNK,UNK,Florida,WL,39000
1087691,1605,132,6,1980,0.0,UNK,11/6/1992 0:00,D6DLGP,D6,D,UNK,LGP,Medium,Wyoming,TTT,29500
1214676,3170,132,99,1989,0.0,UNK,3/24/2001 0:00,580K,580,K,UNK,UNK,UNK,Washington,BL,14000
617255,3538,132,1,1998,0.0,UNK,11/16/2006 0:00,416C,416,C,UNK,UNK,UNK,Texas,BL,28000
764819,3824,132,1,1998,0.0,UNK,2/19/2002 0:00,950G,950,G,UNK,UNK,Medium,Florida,WL,89000
